,observation_year,amount
0,1893,1
1,1911,1
2,1918,1
3,1924,1
4,1929,1
5,1930,1
6,1931,1
7,1932,1
8,1934,2
9,1936,1
10,1937,3
11,1948,2
12,1949,2
13,1950,8
14,1951,7
15,1952,4
16,1953,18
17,1954,16
18,1955,21
19,1956,2
20,1959,2
21,1960,6
22,1963,2
23,1968,1
24,1970,1
25,1971,4
26,1972,1
27,1973,5
28,1974,11
29,1975,14
30,1976,15
31,1977,17
32,1978,21
33,1979,19
34,1980,10
35,1981,12
36,1982,24
37,1983,24
38,1984,15
39,1985,15
40,1986,18
41,1987,24
42,1988,21
43,1989,33
44,1990,33
45,1991,41
46,1992,26
47,1993,35
48,1994,32
49,1995,28
50,1996,35
51,1997,40
52,1998,113
53,1999,89
54,2000,158
55,2001,189
56,2002,206
57,2003,123
58,2004,106
59,2005,92
60,2006,63
61,2007,45
62,2008,46
63,2009,28
64,2010,30
65,2011,17
66,2012,9
67,2013,6
68,2022,1
